time,x,y
1.024300000592439e6,0.592,0.924
1.024400012487739e6,0.872,1.178
1.0245000003232348e6,0.768,1.014
1.0246000040605455e6,0.926,1.314
1.024700000328951e6,0.686,1.136
1.0248000033240408e6,0.618,0.988
1.0249000015844024e6,0.744,1.024
1.0250000001039458e6,0.762,1.028
1.0251000014660527e6,0.828,0.916
1.0252000008784313e6,0.714,1.084
1.0253000002941096e6,0.728,0.996
1.0254000020849662e6,0.782,1.146
1.0255000055293821e6,0.782,1.198
1.0256000014577745e6,0.7,1.142
1.0257000004890737e6,0.734,1.11
1.0258000049428829e6,0.706,1.162
1.025900000605867e6,0.752,1.112
1.0260000029591845e6,0.78,1.228
1.0261000030516555e6,0.688,1.042
1.0262000001976789e6,0.796,1.014
1.026300002436713e6,0.638,1.01
1.0264000009439609e6,0.674,0.92
1.0265000040983739e6,0.744,1.114
1.026600000840421e6,0.934,1.152
1.0267000014568627e6,0.884,1.18
1.0268000012395346e6,0.812,1.266
1.0269000003667508e6,0.73,1.002
1.0270000001217348e6,0.712,0.998
1.0271000016596052e6,0.8,1.062
1.027200005976627e6,0.722,1.174
1.0273000019500531e6,0.71,1.012
1.0274000025165321e6,0.712,1.044
1.0275000001513992e6,0.668,1.06
1.0276000006436226e6,0.83,1.212
1.0277000043310334e6,0.698,0.954
1.0278000020367088e6,0.808,0.998
1.027900006053673e6,0.77,1.038
1.0280000013053723e6,0.746,0.964
1.0281000027158997e6,0.672,1.048
1.0282000006397803e6,0.712,0.922
1.0283000001397706e6,0.738,1.382
1.028400000450175e6,0.628,1.08
1.0285000011660405e6,0.844,0.918
1.0286000000509156e6,0.674,1.05
1.0287000001516199e6,0.71,1.094
1.0288000021029027e6,0.75,1.078
1.028900003450137e6,0.818,1.11
1.0290000015568146e6,0.718,1.232
1.0291000006435119e6,0.762,1.318
1.0292000000012866e6,0.654,1.004
1.0293000034322748e6,0.636,0.752
1.0294000014697231e6,0.7,1.138
1.0295000058519031e6,0.892,1.172
1.0296000005628293e6,0.826,1.094
1.0297000001262865e6,0.636,0.954
1.0298000029810055e6,0.796,1.178
1.0299000057716897e6,0.786,1.314
1.0300000032766735e6,0.802,1.158
1.0301000015709177e6,0.688,0.866
1.0302000005534829e6,0.746,0.992
1.0303000017810849e6,0.648,0.846
1.0304000025076433e6,0.63,1.042
1.0305000018432562e6,0.672,1.1
1.0306000036457642e6,0.832,1.26
1.0307000000400585e6,0.706,1.116
1.0308000004259645e6,0.674,0.79
1.0309000014285824e6,0.876,1.356
1.0310000005804412e6,0.894,1.25
1.031100009391442e6,0.832,1.148
1.0312000029227975e6,0.806,1.05
1.031300005623452e6,0.77,1.248
1.031400000072518e6,0.626,0.986
1.0315000019353515e6,0.904,1.266
1.0316000024892304e6,0.834,1.11
1.0317000100855721e6,0.654,0.98
1.0318000016489713e6,0.778,0.81
1.0319000028191606e6,0.736,0.974
1.0320000014078188e6,0.894,1.04
1.0321000022237742e6,0.708,1.064
1.0322000007431465e6,0.618,0.94
1.032300006479888e6,0.64,0.958
1.0324000008648632e6,0.878,1.208
1.0325000002255093e6,0.578,1.132
1.0326000001954482e6,0.804,1.104
1.0327000008237242e6,0.69,1.03
1.0328000021950576e6,0.778,1.334
1.0329000021469122e6,0.852,1.032
1.033000000118778e6,0.85,0.996
1.0331000002912666e6,0.79,1.11
1.0332000025763232e6,0.704,1.05
1.0333000041921573e6,0.796,1.08
1.0334000001317386e6,0.878,1.144
1.0335000017051164e6,0.676,1.084
1.0336000003637807e6,0.662,0.956
1.0337000015340297e6,0.856,0.906
1.0338000004370094e6,0.756,1.26
1.0339000038478334e6,0.652,0.868
1.0340000022662142e6,0.704,0.976
1.0341000011004994e6,0.828,1.174
1.0342000040154557e6,0.818,1.044
1.0343000018848148e6,0.606,1.044
1.0344000000326098e6,0.79,1.208
1.0345000008455063e6,0.832,1.052
1.0346000000295481e6,0.786,1.242
1.0347000002566563e6,0.66,0.896
1.034800001145204e6,0.788,1.07
1.0349000024972174e6,0.732,1.082
1.0350000064649513e6,0.674,0.868
1.0351000084886046e6,0.694,1.014
1.0352000009861756e6,0.612,1.044
1.0353000014470372e6,0.796,1.274
1.0354000013453074e6,0.742,0.94
1.0355000029520725e6,0.782,1.018
1.0356000029599534e6,0.704,0.96
1.0357000003833682e6,0.872,1.29
1.0358000075334187e6,0.668,1.072
1.0359000009569927e6,0.704,1.138
1.0360000024108913e6,0.82,0.918
1.0361000021618266e6,0.658,1.006
1.0362000025759045e6,0.794,1.174
1.0363000067153589e6,0.74,0.852
1.0364000005241164e6,0.802,0.972
1.0365000028840892e6,0.648,0.924
1.0366000037158161e6,0.678,0.938
1.0367000014137377e6,0.884,1.256
1.0368000029937415e6,0.658,1.0
1.0369000011321015e6,0.734,1.058
1.0370000004113406e6,0.76,1.002
1.0371000037847746e6,0.78,1.03
1.0372000007125306e6,0.704,0.958
1.0373000013259716e6,0.782,1.024
1.0374000004160772e6,0.784,0.95
1.0375000000642083e6,0.734,1.118
1.0376000013231427e6,0.642,0.942
1.0377000007273981e6,0.798,1.068
1.037800001091974e6,0.82,1.128
1.0379000010446557e6,0.804,1.194
1.0380000010734875e6,0.876,1.11
1.0381000006257732e6,0.752,1.054
1.038200000917796e6,0.682,1.074
1.0383000004616821e6,0.862,1.246
1.03840000393186e6,0.676,0.978
1.0385000002343071e6,0.632,0.844
1.0386000003276698e6,0.724,1.024
1.0387000094204253e6,0.81,0.954
1.0388000005924095e6,0.784,1.102
1.0389000033597384e6,0.712,1.026
1.0390000018478627e6,0.744,1.004
1.0391000028733639e6,0.758,1.352
1.039200003930718e6,0.62,0.916
1.039300002051996e6,0.66,1.172
1.0394000088003372e6,0.884,1.1
1.0395000038798774e6,0.654,1.024
1.0396000014565671e6,0.792,1.028
1.0397000028124359e6,0.782,0.842
1.0398000000803347e6,0.83,1.146
1.0399000042745518e6,0.72,1.086
1.0400000009616652e6,0.904,1.132
1.0401000007055335e6,0.772,1.096
1.040200000497197e6,0.89,1.162
1.0403000056160344e6,0.754,1.26
1.0404000002861194e6,0.64,1.056
1.0405000059354269e6,0.762,1.138
1.0406000016512808e6,0.94,1.244
1.0407000003369217e6,0.658,1.056
1.040800005175191e6,0.772,1.038
1.0409000010925994e6,0.808,1.292
1.0410000007429393e6,0.816,1.094
1.041100004197389e6,0.742,1.052
1.0412000060369045e6,0.772,1.248
1.0413000021022394e6,0.708,0.94
1.0414000023972873e6,0.696,1.222
1.0415000005667127e6,0.726,1.036
1.0416000007096007e6,0.802,1.2
1.0417000003053986e6,0.838,0.92
1.0418000050859026e6,0.772,0.902
1.0419000016109078e6,0.768,1.222
1.0420000007642995e6,0.736,1.06
1.0421000039256974e6,0.558,0.852
1.0422000015471346e6,0.742,0.868
1.0423000016490782e6,0.83,1.28
1.042400000631909e6,0.882,1.1
1.0425000065440217e6,0.812,1.236
1.0426000017296294e6,0.616,0.808
1.0427000011854502e6,0.664,0.892
1.0428000032740767e6,0.69,0.98
1.0429000019427208e6,0.756,1.166
1.0430000009382294e6,0.508,0.812
1.0431000006331886e6,0.748,1.148
1.0432000015980368e6,0.746,1.156
1.0433000010009434e6,0.774,0.968
